107000,onerpm.com,Amazon,394,RSA,2048,65537,b'sha256WithRSAEncryption'
108000,hagel-shop.de,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
109000,hp-mns.com,DigiCert Inc,365,RSA,2048,65537,b'sha256WithRSAEncryption'
110000,turismoroma.it,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
111000,eoi.es,GEANT Vereniging,365,RSA,2048,65537,b'sha384WithRSAEncryption'
112000,oh100.com,Let's Encrypt,89,RSA,3072,65537,b'sha256WithRSAEncryption'
114000,dzrt.com,Let's Encrypt,89,EC,256,none,b'ecdsa-with-SHA384'
115000,loose-gene.com,Let's Encrypt,89,EC,256,none,b'sha256WithRSAEncryption'
117000,hookupguru.com,Let's Encrypt,89,EC,256,none,b'ecdsa-with-SHA384'
120000,pibig.info,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
121000,xvidiu.pro,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
123000,rastrnet.ru,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
124000,wikijm.com,Let's Encrypt,89,EC,256,none,b'ecdsa-with-SHA384'
125000,rmu.edu,Let's Encrypt,89,RSA,2048,65537,b'sha256WithRSAEncryption'
126000,budgetyourtrip.com,DigiCert Inc,378,RSA,2048,65537,b'sha256WithRSAEncryption'
129000,staffordshire.gov.uk,GEANT Vereniging,365,RSA,4096,65537,b'sha384WithRSAEncryption'
130000,blossoms.com,Let's Encrypt,89,EC,256,none,b'sha256WithRSAEncryption'
131000,onlinetopchoice.com,Google Trust Services LLC,89,RSA,2048,65537,b'sha256WithRSAEncryption'
134000,3sktr.vip,Google Trust Services LLC,89,RSA,2048,65537,b'sha256WithRSAEncryption'
136000,lottovip2023.com,Google Trust Services LLC,89,RSA,2048,65537,b'sha256WithRSAEncryption'
137000,uwtsd.ac.uk,GEANT Vereniging,365,RSA,2048,65537,b'sha384WithRSAEncryption'
138000,ligatotomega.com,Google Trust Services LLC,89,RSA,2048,65537,b'sha256WithRSAEncryption'
